TABLE_NAME	COLUMN_NAME	DATATYPE	NULLABLE	ANONYMIZATION	DEFAULT VALUE
Production.Product	ReorderPoint	smallint	NOT NULL	Omit	
Production.Product	StandardCost	money	NOT NULL	Omit	
Production.Product	ListPrice	money	NOT NULL	Omit	
Production.Product	Size	nvarchar(5)	NULL	Omit	
Production.Product	SizeUnitMeasureCode	nchar(3)	NULL	Omit	
Production.Product	WeightUnitMeasureCode	nchar(3)	NULL	Omit	
Production.Product	Weight	"decimal(8,2)"	NULL	Omit	
Production.Product	DaysToManufacture	int	NOT NULL	Omit	
Production.Product	ProductLine	nchar(2)	NULL	Omit	
Production.Product	Class	nchar(2)	NULL	Omit	
Production.Product	Style	nchar(2)	NULL	Omit	
Production.Product	ProductSubcategoryID	int	NULL	Omit	
Production.Product	ProductModelID	int	NULL	Omit	
Production.Product	SellStartDate	datetime	NOT NULL	Omit	
Production.Product	SellEndDate	datetime	NULL	Omit	
Production.Product	DiscontinuedDate	datetime	NOT NULL	Omit	
Production.Product	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.Product	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductCategory	ProductCategoryID	int	NOT NULL	Omit	
Production.ProductCategory	Name	nvarchar(50)	NOT NULL	Omit	
Production.ProductCategory	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.ProductCategory	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductCostHistory	ProductID	int	NOT NULL	Omit	
Production.ProductCostHistory	StartDate	datetime	NOT NULL	Omit	
Production.ProductCostHistory	EndDate	datetime	NULL	Omit	
Production.ProductCostHistory	StandardCost	money	NOT NULL	Omit	
Production.ProductCostHistory	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductDescription	ProductDescriptionID	int	NOT NULL	Omit	
Production.ProductDescription	Description	nvarchar(400)	NOT NULL	Omit	
Production.ProductDescription	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.ProductDescription	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductDocument	ProductID	int	NOT NULL	Omit	
Production.ProductDocument	DocumentNode	hierarchyid	NOT NULL	Omit	
Production.ProductDocument	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductInventory	ProductID	int	NOT NULL	Omit	
Production.ProductInventory	LocationID	smallint	NOT NULL	Omit	
Production.ProductInventory	Shelf	nvarchar(10)	NOT NULL	Omit	
Production.ProductInventory	Bin	tinyint	NOT NULL	Omit	
Production.ProductInventory	Quantity	smallint	NOT NULL	Omit	
Production.ProductInventory	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.ProductInventory	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductListPriceHistory	ProductID	int	NOT NULL	Omit	
Production.ProductListPriceHistory	StartDate	datetime	NOT NULL	Omit	
Production.ProductListPriceHistory	EndDate	datetime	NULL	Omit	
Production.ProductListPriceHistory	ListPrice	money	NOT NULL	Omit	
Production.ProductListPriceHistory	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductModel	ProductModelID	int	NOT NULL	Omit	
Production.ProductModel	Name	nvarchar(50)	NOT NULL	Omit	
Production.ProductModel	CatalogDescription	XML(Production.ProductDescriptionSchemaCollection)	NULL	Omit	
Production.ProductModel	Instructions	XML(Production.ManuInstructionsSchemaCollection)	NULL	Omit	
Production.ProductModel	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.ProductModel	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductModelIllustration	ProductModelID	int	NOT NULL	Omit	
Production.ProductModelIllustration	IllustrationID	int	NOT NULL	Omit	
Production.ProductModelIllustration	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductModelProductDescriptionCulture	ProductModelID	int	NOT NULL	Omit	
Production.ProductModelProductDescriptionCulture	ProductDescriptionID	int	NOT NULL	Omit	
Production.ProductModelProductDescriptionCulture	CultureID	nchar(6)	NOT NULL	Omit	
Production.ProductModelProductDescriptionCulture	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductPhoto	ProductPhotoID	int	NOT NULL	Omit	
Production.ProductPhoto	ThumbNailPhoto	varbinary(max)	NULL	Omit	
Production.ProductPhoto	ThumbnailPhotoFileName	nvarchar(50)	NULL	Omit	
Production.ProductPhoto	LargePhoto	varbinary(max)	NULL	Omit	
Production.ProductPhoto	LargePhotoFileName	nvarchar(50)	NULL	Omit	
Production.ProductPhoto	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductProductPhoto	ProductID	int	NOT NULL	Omit	
Production.ProductProductPhoto	ProductPhotoID	int	NOT NULL	Omit	
Production.ProductProductPhoto	Primary	bit	NOT NULL	Omit	
Production.ProductProductPhoto	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductReview	ProductReviewID	int	NOT NULL	Omit	
Production.ProductReview	ProductID	int	NOT NULL	Omit	
Production.ProductReview	ReviewerName	nvarchar(50)	NOT NULL	Omit	
Production.ProductReview	ReviewDate	datetime	NOT NULL	Omit	
Production.ProductReview	EmailAddress	nvarchar(50)	NOT NULL	Omit	
Production.ProductReview	Rating	int	NOT NULL	Omit	
Production.ProductReview	Comments	nvarchar(3850)	NULL	Omit	
Production.ProductReview	ModifiedDate	datetime	NOT NULL	Omit	
Production.ProductSubcategory	ProductSubcategoryID	int	NOT NULL	Omit	
Production.ProductSubcategory	ProductCategoryID	int	NOT NULL	Omit	
Production.ProductSubcategory	Name	nvarchar(50)	NOT NULL	Omit	
Production.ProductSubcategory	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.ProductSubcategory	ModifiedDate	datetime	NOT NULL	Omit	
Production.ScrapReason	ScrapReasonID	smallint	NOT NULL	Omit	
Production.ScrapReason	Name	nvarchar(50)	NOT NULL	Omit	
Production.ScrapReason	ModifiedDate	datetime	NOT NULL	Omit	
Production.TransactionHistory	TransactionID	int	NOT NULL	Omit	
Production.TransactionHistory	ProductID	int	NOT NULL	Omit	
Production.TransactionHistory	ReferenceOrderID	int	NOT NULL	Omit	
Production.TransactionHistory	ReferenceOrderLineID	int	NOT NULL	Omit	
Production.TransactionHistory	TransactionDate	datetime	NOT NULL	Omit	
Production.TransactionHistory	TransactionType	nchar(1)	NOT NULL	Omit	
Production.TransactionHistory	Quantity	int	NOT NULL	Omit	
Production.TransactionHistory	ActualCost	money	NOT NULL	Omit	
Production.TransactionHistory	ModifiedDate	datetime	NOT NULL	Omit	
Production.TransactionHistoryArchive	TransactionID	int	NOT NULL	Omit	
Production.TransactionHistoryArchive	ProductID	int	NOT NULL	Omit	
Production.TransactionHistoryArchive	ReferenceOrderID	int	NOT NULL	Omit	
Production.TransactionHistoryArchive	ReferenceOrderLineID	int	NOT NULL	Omit	
Production.TransactionHistoryArchive	TransactionDate	date	NOT NULL	Omit	
Production.TransactionHistoryArchive	TransactionType	nchar(1)	NOT NULL	Omit	
Production.TransactionHistoryArchive	Quantity	int	NOT NULL	Omit	
Production.TransactionHistoryArchive	ActualCost	money	NOT NULL	Omit	
Production.TransactionHistoryArchive	ModifiedDate	datetime	NOT NULL	Omit	
Production.UnitMeasure	UnitMeasureCode	nchar(3)	NOT NULL	Omit	
Production.UnitMeasure	Name	nvarchar(50)	NOT NULL	Omit	
Production.UnitMeasure	ModifiedDate	datetime	NOT NULL	Omit	
Production.WorkOrder	WorkOrderID	int	NOT NULL	Omit	
Production.WorkOrder	ProductID	int	NOT NULL	Omit	
Production.WorkOrder	OrderQty	int	NOT NULL	Omit	
Production.WorkOrder	StockedQty	int	NOT NULL	Omit	
Production.WorkOrder	ScrappedQty	smallint	NOT NULL	Omit	
Production.WorkOrder	StartDate	datetime	NOT NULL	Omit	
Production.WorkOrder	EndDate	datetime	NULL	Omit	
Production.WorkOrder	DueDate	datetime	NOT NULL	Omit	
Production.WorkOrder	ScrapReasonID	smallint	NULL	Omit	
Production.WorkOrder	ModifiedDate	datetime	NOT NULL	Omit	
Production.WorkOrderRouting	WorkOrderID	int	NOT NULL	Omit	
Production.WorkOrderRouting	ProductID	int	NOT NULL	Omit	
Production.WorkOrderRouting	OperationSequence	smallint	NOT NULL	Omit	
Production.WorkOrderRouting	LocationID	smallint	NOT NULL	Omit	
Production.WorkOrderRouting	ScheduledStartDate	datetime	NOT NULL	Omit	
Production.WorkOrderRouting	ScheduledEndDate	datetime	NOT NULL	Omit	
Production.WorkOrderRouting	ActualStartDate	datetime	NULL	Omit	
Production.WorkOrderRouting	ActualEndDate	datetime	NULL	Omit	
Production.WorkOrderRouting	ActualResourceHrs	"decimal(9,4)"	NULL	Omit	
Production.WorkOrderRouting	PlannedCost	money	NOT NULL	Omit	
Production.WorkOrderRouting	ActualCost	money	NULL	Omit	
Production.WorkOrderRouting	ModifiedDate	datetime	NOT NULL	Omit	
Purchasing.ProductVendor	ProductID	int	NOT NULL	Omit	
Purchasing.ProductVendor	BusinessEntityID	int	NOT NULL	Omit	
Purchasing.ProductVendor	AverageLeadTime	int	NOT NULL	Omit	
Purchasing.ProductVendor	StandardPrice	money	NOT NULL	Omit	
Purchasing.ProductVendor	LastReceiptCost	money	NULL	Omit	
Purchasing.ProductVendor	LastReceiptDate	datetime	NULL	Omit	
Purchasing.ProductVendor	MinOrderQty	int	NOT NULL	Omit	
Purchasing.ProductVendor	MaxOrderQty	int	NOT NULL	Omit	
Purchasing.ProductVendor	OnOrderQty	int	NULL	Omit	
Purchasing.ProductVendor	UnitMeasureCode	nchar(3)	NOT NULL	Omit	
Purchasing.ProductVendor	ModifiedDate	datetime	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	PurchaseOrderID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	PurchaseOrderDetailID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	DueDate	datetime	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	OrderQty	smallint	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	ProductID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	UnitPrice	money	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	LineTotal	money	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	ReceivedQty	"decimal(8,2)"	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	RejectedQty	"decimal(8,2)"	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	StockedQty	"decimal(9,2)"	NOT NULL	Omit	
Purchasing.PurchaseOrderDetail	ModifiedDate	datetime	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	PurchaseOrderID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	RevisionNumber	tinyint	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	Status	tinyint	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	EmployeeID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	VendorID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	ShipMethodID	int	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	OrderDate	datetime	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	ShipDate	datetime	NULL	Omit	
Purchasing.PurchaseOrderHeader	SubTotal	money	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	TaxAmt	money	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	Freight	money	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	TotalDue	money	NOT NULL	Omit	
Purchasing.PurchaseOrderHeader	ModifiedDate	datetime	NOT NULL	Omit	
Purchasing.ShipMethod	ShipMethodID	int	NOT NULL	Omit	
Purchasing.ShipMethod	Name	nvarchar(50)	NOT NULL	Omit	
Purchasing.ShipMethod	ShipBase	money	NOT NULL	Omit	
Purchasing.ShipMethod	ShipRate	money	NOT NULL	Omit	
Purchasing.ShipMethod	rowguid	uniqueidentifier	NOT NULL	Omit	
Purchasing.ShipMethod	ModifiedDate	datetime	NOT NULL	Omit	
Purchasing.Vendor	BusinessEntityID	int	NOT NULL	Omit	
Purchasing.Vendor	AccountNumber	nvarchar(15)	NOT NULL	Omit	
Purchasing.Vendor	Name	nvarchar(50)	NOT NULL	Omit	
Purchasing.Vendor	CreditRating	tinyint	NOT NULL	Omit	
Purchasing.Vendor	PreferredVendorStatus	bit	NOT NULL	Omit	
Purchasing.Vendor	ActiveFlag	bit	NOT NULL	Omit	
Purchasing.Vendor	PurchasingWebServiceURL	nvarchar(1024)	NULL	Omit	
Purchasing.Vendor	ModifiedDate	datetime	NOT NULL	Omit	
Sales.CountryRegionCurrency	CountryRegionCode	nvarchar(3)	NOT NULL	Omit	
Sales.CountryRegionCurrency	CurrencyCode	nchar(3)	NOT NULL	Omit	
Sales.CountryRegionCurrency	ModifiedDate	datetime	NOT NULL	Omit	
Sales.CreditCard	CreditCardID	int	NOT NULL	Omit	
Sales.CreditCard	CardType	nvarchar(50)	NOT NULL	Omit	
Sales.CreditCard	CardNumber	nvarchar(25)	NOT NULL	Omit	
Sales.CreditCard	ExpMonth	tinyint	NOT NULL	Omit	
Sales.CreditCard	ExpYear	smallint	NOT NULL	Omit	
Sales.CreditCard	ModifiedDate	datetime	NOT NULL	Omit	
Sales.Currency	CurrencyCode	nchar(3)	NOT NULL	Omit	
Sales.Currency	Name	nvarchar(50)	NOT NULL	Omit	
Sales.Currency	ModifiedDate	datetime	NOT NULL	Omit	
Sales.CurrencyRate	CurrencyRateID	int	NOT NULL	Omit	
Sales.CurrencyRate	CurrencyRateDate	datetime	NOT NULL	Omit	
Sales.CurrencyRate	FromCurrencyCode	nchar(3)	NOT NULL	Omit	
Sales.CurrencyRate	ToCurrencyCode	nchar(3)	NOT NULL	Omit	
Sales.CurrencyRate	AverageRate	money	NOT NULL	Omit	
Sales.CurrencyRate	EndOfDayRate	money	NOT NULL	Omit	
Sales.CurrencyRate	ModifiedDate	datetime	NOT NULL	Omit	
Sales.Customer	CustomerID	int	NOT NULL	Omit	
Sales.Customer	PersonID	int	NULL	Omit	
Sales.Customer	StoreID	int	NULL	Omit	
Sales.Customer	TerritoryID	int	NULL	Omit	
Sales.Customer	AccountNumber	varchar(10)	NOT NULL	Omit	
Sales.Customer	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.Customer	ModifiedDate	datetime	NOT NULL	Omit	
Sales.PersonCreditCard	BusinessEntityID	int	NOT NULL	Omit	
Sales.PersonCreditCard	CreditCardID	int	NOT NULL	Omit	
Sales.PersonCreditCard	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesOrderDetail	SalesOrderID	int	NOT NULL	Omit	
Sales.SalesOrderDetail	SalesOrderDetailID	int	NOT NULL	Omit	
Sales.SalesOrderDetail	CarrierTrackingNumber	nvarchar(25)	NULL	Omit	
Sales.SalesOrderDetail	OrderQty	smallint	NOT NULL	Omit	
Sales.SalesOrderDetail	ProductID	int	NOT NULL	Omit	
Sales.SalesOrderDetail	SpecialOfferID	int	NOT NULL	Omit	
Sales.SalesOrderDetail	UnitPrice	money	NOT NULL	Omit	
Sales.SalesOrderDetail	UnitPriceDiscount	money	NOT NULL	Omit	
Sales.SalesOrderDetail	LineTotal	"numeric(38,6)"	NOT NULL	Omit	
Sales.SalesOrderDetail	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesOrderDetail	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesOrderHeader	SalesOrderID	int	NOT NULL	Omit	
Sales.SalesOrderHeader	RevisionNumber	tinyint	NOT NULL	Omit	
Sales.SalesOrderHeader	OrderDate	datetime	NOT NULL	Omit	
Sales.SalesOrderHeader	DueDate	datetime	NOT NULL	Omit	
Sales.SalesOrderHeader	ShipDate	datetime	NULL	Omit	
Sales.SalesOrderHeader	Status	tinyint	NOT NULL	Omit	
Sales.SalesOrderHeader	OnlineOrderFlag	bit	NOT NULL	Omit	
Sales.SalesOrderHeader	SalesOrderNumber	nvarchar(25)	NOT NULL	Omit	
Sales.SalesOrderHeader	PurchaseOrderNumber	nvarchar(25)	NULL	Omit	
Sales.SalesOrderHeader	AccountNumber	nvarchar(15)	NULL	Omit	
Sales.SalesOrderHeader	CustomerID	int	NOT NULL	Omit	
Sales.SalesOrderHeader	SalesPersonID	int	NULL	Omit	
Sales.SalesOrderHeader	TerritoryID	int	NULL	Omit	
Sales.SalesOrderHeader	BillToAddressID	int	NOT NULL	Omit	
Sales.SalesOrderHeader	ShipToAddressID	int	NOT NULL	Omit	
Sales.SalesOrderHeader	ShipMethodID	int	NOT NULL	Omit	
Sales.SalesOrderHeader	CreditCardID	int	NULL	Omit	
Sales.SalesOrderHeader	CreditCardApprovalCode	varchar(15)	NULL	Omit	
Sales.SalesOrderHeader	CurrencyRateID	int	NULL	Omit	
Sales.SalesOrderHeader	SubTotal	money	NOT NULL	Omit	
Sales.SalesOrderHeader	TaxAmt	money	NOT NULL	Omit	
Sales.SalesOrderHeader	Freight	money	NOT NULL	Omit	
Sales.SalesOrderHeader	TotalDue	money	NOT NULL	Omit	
Sales.SalesOrderHeader	Comment	nvarchar(128)	NULL	Omit	
Sales.SalesOrderHeader	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesOrderHeader	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesOrderHeaderSalesReason	SalesOrderID	int	NOT NULL	Omit	
Sales.SalesOrderHeaderSalesReason	SalesReasonID	int	NOT NULL	Omit	
Sales.SalesOrderHeaderSalesReason	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesPerson	BusinessEntityID	int	NOT NULL	Omit	
Sales.SalesPerson	TerritoryID	int	NULL	Omit	
Sales.SalesPerson	SalesQuota	money	NULL	Omit	
